Model,CV R2 Mean,CV R2 Std,CV RMSE (log),Test R2,Test RMSE (log),Test MAE (log),Test RMSE ($),Test MAE ($)
Gradient Boosting (Tuned),0.8315397802594802,0.004526363522460215,0.35871701519791854,0.8358804331374737,0.3462918723219241,0.242429505838915,310.2336821161183,82.03996303190925
Random Forest (Tuned),0.8237552453562197,0.005631346169799685,0.36689082006443374,0.8300693555557727,0.3523692237098695,0.24102416829661508,323.0581160141121,83.05228235447198
Random Forest,0.8152661197141529,0.004749160815349146,0.3756587688352577,0.8229085010878171,0.35971700960012726,0.24181074413320366,320.21617110950507,83.66599001475466
Gradient Boosting,0.7747567778634062,0.00706564493080363,0.41478195460470746,0.7825033867962645,0.3986468775425041,0.2866540398665451,370.23831860086784,97.05087744937788
Ridge Regression,0.7463749179741466,0.012428061136943055,0.44012291911464396,0.7656247832448742,0.41382617878250366,0.29701764883772624,378.7561399036254,101.77513653454066
Linear Regression,0.7460938899958232,0.012222299110575128,0.4403698070621823,0.7654226528570949,0.41400458676479146,0.2972718679479218,378.6912652449944,101.8250509203543
